code,name,roe,net_profit,np_margin,gp_margin
sh.688076,sh.688076,4.2437000000000005,1.2689298153,22.947100000000002,61.965599999999995
sh.600115,sh.600115,4.2361,17.21,4.6438,8.2515
sh.600415,sh.600415,4.2312,9.932679612200001,21.6261,33.7785
sz.002997,sz.002997,4.2312,1.177414893,11.700199999999999,22.083
sh.601225,sh.601225,4.2305,70.0014211036,17.9707,31.123299999999997
sz.002466,sz.002466,4.2273,28.4111691074,55.40350000000001,62.6561
sz.300432,sz.300432,4.2253,2.3346224325,4.6193,9.345
sh.600686,sh.600686,4.2157,1.6968884224,2.9455999999999998,11.7708
sz.002475,sz.002475,4.2116,39.6763678813,4.7297,11.9205
sh.603939,sh.603939,4.2035,5.4608513416,8.9743,40.036500000000004
sz.002595,sz.002595,4.1963,5.151405598,19.3107,34.0528
sz.002752,sz.002752,4.1906,1.5131482601,7.9945,13.814499999999999
sh.600521,sh.600521,4.1906,3.9834144117,17.0567,57.6669
sh.688100,sh.688100,4.1893,1.4828106365,27.8786,43.3326
sz.000551,sz.000551,4.1744,1.5667905981,12.8643,28.6443
sz.000700,sz.000700,4.1689,1.6207298847999998,11.5471,19.284100000000002
sz.300442,sz.300442,4.1673,5.8572373928,31.8401,46.7988
sh.600433,sh.600433,4.1664,3.9963451784,23.1822,6.4336
sh.688411,sh.688411,4.16,2.0205920793,8.5276,19.424500000000002
sh.600066,sh.600066,4.1424,6.6749927377,11.2956,23.5583
sh.601888,sh.601888,4.1407,23.7031266605,14.0205,33.6318
sz.002284,sz.002284,4.1368,1.4227665263999998,10.4786,20.4052
sz.300666,sz.300666,4.132099999999999,1.8453610708000001,14.135200000000001,32.856
sz.000902,sz.000902,4.1122,5.1354559966,9.3374,18.0102
sz.002468,sz.002468,4.1098,4.5828913984,2.9215999999999998,7.3835
sz.000301,sz.000301,4.1074,14.478749179400001,4.5214,18.9207
sh.600012,sh.600012,4.1012,5.722429524400001,36.3587,52.6855
sz.002716,sz.002716,4.0954,1.5552627938999999,4.863300000000001,9.0203
sz.300776,sz.300776,4.0916,1.6365741138,38.725500000000004,47.4861
sz.000651,sz.000651,4.0826,60.9880748282,14.194499999999998,27.4158
sh.600062,sh.600062,4.0825,5.0137648046,17.8643,59.0338
sh.600029,sh.600029,4.0776,21.51,4.5017000000000005,10.82
sz.002738,sz.002738,4.0716,5.4996450263,39.969,57.516
sh.600612,sh.600612,4.0649999999999995,6.9022057366,5.0226,12.745600000000001
sz.300415,sz.300415,4.0644,1.3412988375,10.3467,32.5799
sz.002768,sz.002768,4.0642,2.7174079095,5.054,11.9294
sz.000513,sz.000513,4.0631,7.2400955391999995,25.218600000000002,65.8685
sh.603967,sh.603967,4.0597,1.0904713761,5.013999999999999,7.305200000000001
sh.600267,sh.600267,4.052300000000001,3.5854707498000002,14.999,50.867799999999995
sh.600236,sh.600236,4.0514,9.7853561563,36.7323,55.68579999999999
sz.300487,sz.300487,4.0463,1.8207391038999998,29.994,55.48180000000001
sh.603638,sh.603638,4.0409,1.5979375794,13.684899999999999,27.5085
sh.603296,sh.603296,4.035,10.696514261599999,2.6252,8.5399
sh.600531,sh.600531,4.0291,2.7486639116000005,1.6806999999999999,6.0279
sz.002545,sz.002545,4.023899999999999,4.0190044731,28.337,43.592
sz.002901,sz.002901,4.0186,1.6189030387999999,25.2363,74.1625
sz.002082,sz.002082,4.0155,1.0065929208,26.899,56.884100000000004
sz.002460,sz.002460,4.0113,19.2208424044,20.9009,29.7187
sh.688400,sh.688400,4.01,1.9831293121,33.2023,42.3742
sh.600338,sh.600338,3.9993,1.7910032055,21.1312,71.0622
sh.603271,sh.603271,3.9989,1.193061135,4.9538,9.6971
sz.000878,sz.000878,3.9987000000000004,8.802520360299999,1.6622000000000001,4.3974
sh.600176,sh.600176,3.9985,13.1432229049,24.8833,39.6378
sh.688692,sh.688692,3.9922,1.4789785383,36.015,96.56400000000001
sz.000429,sz.000429,3.9919999999999995,6.2599046778,58.0669,68.2196
sh.603298,sh.603298,3.9891,4.6431336667,9.443999999999999,22.4953
sz.300059,sz.300059,3.9871999999999996,37.3777985592,74.2946,73.97160000000001
sh.600926,sh.600926,3.9787000000000003,66.28893,63.7053,0.0
sz.000963,sz.000963,3.9656,9.9716140038,8.9164,33.9431
sh.601111,sh.601111,3.9614000000000003,17.93336,4.0267,7.8649
sh.688012,sh.688012,3.9592,9.1843990412,31.5075,39.8926
sh.603883,sh.603883,3.9574,3.02357093,5.5162,33.508700000000005
sz.300373,sz.300373,3.9572999999999996,3.7937415433,17.813599999999997,36.8127
sh.600497,sh.600497,3.9566999999999997,6.620018700399999,10.406799999999999,20.883
sz.300803,sz.300803,3.9334000000000002,1.10376802,21.3116,89.9824
sz.300770,sz.300770,3.9316999999999998,1.4294331997999998,37.9366,43.2751
sh.603508,sh.603508,3.9315,1.6778995227000002,44.317099999999996,62.6668
